cycle,ncells,ndofs,stem,L2 error,rhs L2 norm,nconstraints,ncpus,assembly,iterations,compute errors,relative L2 error,flag adaptation,solve,refine,weighting factor,H1 error,setup,weighting exponent,estimate error,estimated error,walltime,full cycle,tolerance
0,3072,12545,corner-2d-errors-h,0.000111022,21.6889,512,1,0.00827171,24,0.0131101,1.64442e-06,0.00058934,0.0448858,0.011609,0,0.0122088,0.0106794,0,0.00943433,0.0239991,0.107784,0.0989688,2.16889e-11
1,5817,23951,corner-2d-errors-h,4.36e-05,21.5558,1162,1,0.0158563,25,0.0246401,5.41104e-07,0.00116473,0.0849139,0.0224104,0,0.00769071,0.0193981,0,0.0186598,0.0151179,0.296129,0.188094,2.15558e-11
2,11043,47041,corner-2d-errors-h,1.71878e-05,21.4051,4456,1,0.0313339,26,0.0506046,1.69173e-07,0.00388752,0.172058,0.0442551,0,0.0048448,0.0390868,0,0.037178,0.0095235,0.678466,0.380258,2.14051e-11
3,21240,94009,corner-2d-errors-h,6.79229e-06,23.1167,13772,1,0.063417,31,0.100099,4.92825e-08,0.0112129,0.38497,0.0884232,0,0.00305204,0.0823449,0,0.0793366,0.00599939,1.49604,0.816951,2.31167e-11
4,40842,184311,corner-2d-errors-h,2.68851e-06,25.3841,31678,1,0.125322,31,0.190259,1.39407e-08,0.0165878,0.76914,0.176244,0,0.00192269,0.175389,0,0.180939,0.00377937,3.14078,1.64191,2.53841e-11
5,78444,355139,corner-2d-errors-h,1.06505e-06,29.5921,62428,1,0.244186,31,0.381752,3.99588e-09,0.0426642,1.53123,0.347431,0,0.00121121,0.369846,0,0.344765,0.00238085,6.42099,3.27541,2.95921e-11
6,149865,683647,corner-2d-errors-h,4.22202e-07,35.1358,126818,1,0.47716,31,0.738233,1.18209e-09,0.0891919,3.06051,0.686154,0,0.000763005,0.746261,0,0.684253,0.00149984,12.9598,6.5033,3.51358e-11
7,287730,1316999,corner-2d-errors-h,1.67447e-07,40.2174,249852,1,0.92217,31,1.37454,3.4334e-10,0.137955,6.12605,1.3627,0,0.000480661,1.4621,0,1.53351,0.000944841,25.9221,12.9622,4.02174e-11
8,551385,2541071,corner-2d-errors-h,6.64326e-08,45.8132,504272,1,1.78368,37,2.78056,9.80771e-11,0.277797,13.67,2.64556,0,0.000302797,2.8785,0,2.92405,0.000595212,52.936,27.0138,4.58132e-11
9,1056117,4843039,corner-2d-errors-h,2.63511e-08,56.485,929264,1,3.41971,36,5.36359,2.9133e-11,0.647492,28.9803,5.18392,0,0.000190749,5.60074,0,5.58925,0.00037496,107.837,54.9009,5.6485e-11
10,2032881,9383113,corner-2d-errors-h,1.04788e-08,62.7178,1879290,1,7.10122,37,10.0108,8.22969e-12,1.17836,57.8297,10.2553,0,0.000120164,10.9603,0,11.6813,0.00023621,217.089,108.933,6.27178e-11
11,3910827,18079974,corner-2d-errors-h,4.22054e-09,73.2835,3657647,1,12.8142,38,18.9575,2.42967e-12,2.26373,115.153,20.0072,0,7.56985e-05,22.1125,0,22.7755,0.000148803,432.345,214.623,7.32835e-11
