cycle,ncells,ndofs,stem,assembly,iterations,weighting factor,calculate transformation matrices,nconstraints,estimated error,flag adaptation,L2 error,refine,weighting exponent,H1 error,relative L2 error,setup,compute errors,calculate indicators,estimate error,flag p,rhs L2 norm,full cycle,tolerance,ncpus,walltime,solve
0,3072,12545,corner-2d-errors-hp-fourier-naive,0.00827031,24,0,0.254295,512,0.0239991,0.000599633,0.000111022,0.0093064,0,0.0122088,1.64442e-06,0.010741,0.0132102,0.00179233,0.00952539,0.000395818,21.6889,0.0992335,2.16889e-11,1,0.362814,0.0449239
1,4434,21048,corner-2d-errors-hp-fourier-naive,0.0155368,38,0,0.254295,1652,0.0151238,0.000672068,4.36908e-05,0.0136906,0,0.00770281,5.76736e-07,0.0172291,0.02073,0.00284356,0.0148339,0.000611688,21.5558,0.195601,2.15558e-11,1,0.558546,0.108835
2,6420,38983,corner-2d-errors-hp-fourier-naive,0.0328573,44,0,0.254295,4436,0.00952737,0.000837492,1.72254e-05,0.0205522,0,0.00485294,1.84266e-07,0.0318677,0.0345881,0.00450128,0.0234715,0.000940439,21.7839,0.396369,2.17839e-11,1,0.955017,0.244522
3,9492,70011,corner-2d-errors-hp-fourier-naive,0.0637523,44,0,0.254295,10613,0.00600184,0.00124019,6.80715e-06,0.0311516,0,0.00305718,5.85384e-08,0.0586533,0.056384,0.00697602,0.0378023,0.0015513,24.1278,0.724174,2.41278e-11,1,1.67972,0.464416
4,14172,121406,corner-2d-errors-hp-fourier-naive,0.116002,48,0,0.254295,19157,0.00378094,0.00185926,2.69489e-06,0.0471536,0,0.00192597,1.75974e-08,0.101719,0.0897067,0.0104666,0.0629201,0.00304302,27.1805,1.30783,2.71805e-11,1,2.99063,0.871804
5,21147,195094,corner-2d-errors-hp-fourier-naive,0.192547,53,0,0.254295,28621,0.0023822,0.00308824,1.06827e-06,0.0709984,0,0.00121356,5.61319e-09,0.164027,0.140147,0.0164886,0.0989919,0.00671361,30.1831,2.27149,3.01831e-11,1,5.26225,1.5699
6,31773,311651,corner-2d-errors-hp-fourier-naive,0.32766,55,0,0.254295,45838,0.00150106,0.00680718,4.23366e-07,0.107985,0,0.000764469,1.6811e-09,0.273835,0.217255,0.0266138,0.159305,0.0119328,38.1779,3.8807,3.81779e-11,1,9.15718,2.73957
7,47283,492968,corner-2d-errors-hp-fourier-naive,0.568865,61,0,0.254295,70905,0.000945609,0.0130233,1.67849e-07,0.162512,0,0.000481582,5.35875e-10,0.463678,0.336491,0.0406231,0.248533,0.0207317,47.1286,6.86866,4.71286e-11,1,16.0286,4.98791
8,69579,755889,corner-2d-errors-hp-fourier-naive,0.946954,63,0,0.254295,105771,0.000596462,0.0214464,6.66334e-08,0.241478,0,0.000303607,1.73939e-10,0.736404,0.51421,0.0603585,0.377737,0.0318163,50.573,11.3147,5.0573e-11,1,27.3434,8.37071
9,102717,1107453,corner-2d-errors-hp-fourier-naive,1.46805,73,0,0.254295,163127,0.00047366,0.0358025,5.76004e-08,0.365325,0,0.000315166,1.19555e-10,1.13899,0.754146,0.0891606,0.574192,0.0481483,59.763,18.8483,5.9763e-11,1,46.2668,14.3416
10,151815,1583127,corner-2d-errors-hp-fourier-naive,2.22802,77,0,0.254295,269480,0.000298387,0.0605095,2.28431e-08,0.54427,0,0.000198543,3.96189e-11,1.67624,1.17988,0.132021,0.858196,0.0719176,81.2302,28.3904,8.12302e-11,1,74.6573,21.6123
11,224304,2240707,corner-2d-errors-hp-fourier-naive,3.29971,130,0,0.254295,420466,0.000187981,0.0928619,9.06144e-09,0.816902,0,0.000125081,1.29169e-11,2.42732,1.84599,0.239639,1.26749,0.0504524,168.35,58.7997,1.6835e-10,1,133.659,48.6964
