cycle,ncells,ndofs,tolerance,full cycle,refine,walltime,L2 error,estimated error,rhs L2 norm,nconstraints,iterations,solve,weighting factor,ncpus,calculate indicators,H1 error,assembly,flag adaptation,relative L2 error,compute errors,weighting exponent,estimate error,stem,flag p,calculate transformation matrices,setup
0,3072,12545,2.16889e-11,0.0971476,0.00740994,0.360722,0.000111022,0.0239991,21.6889,512,24,0.0449114,0,1,0.00178702,0.0122088,0.00825859,0.000600656,1.64442e-06,0.0131399,0,0.00953688,corner-2d-errors-hp-fourier,0.000397912,0.254263,0.0107804
1,3333,18257,2.15558e-11,0.177819,0.00805122,0.538668,4.36977e-05,0.015124,21.5558,1286,41,0.108021,0,1,0.00233178,0.00770361,0.0147006,0.000459601,5.92004e-07,0.0172204,0,0.0112727,corner-2d-errors-hp-fourier,0.000477868,0.254263,0.0147339
2,3609,27618,2.17918e-11,0.322625,0.00899741,0.861389,1.72466e-05,0.00954351,21.7918,3284,53,0.22014,0,1,0.00307917,0.00485784,0.029201,0.000444313,2.07264e-07,0.0233989,0,0.013998,corner-2d-errors-hp-fourier,0.000607188,0.254263,0.0220189
3,3984,40279,2.3801e-11,0.580827,0.0100145,1.44642,1.51887e-05,0.00757863,23.801,6045,66,0.428775,0,1,0.00360541,0.00504275,0.053242,0.000530481,1.56918e-07,0.0309062,0,0.0173711,corner-2d-errors-hp-fourier,0.000709849,0.254263,0.0335424
4,4392,54476,2.57237e-11,0.83733,0.0110881,2.28492,5.95901e-06,0.00477422,25.7237,9108,68,0.62937,0,1,0.0040427,0.00317673,0.0810334,0.00054526,5.33713e-08,0.0394615,0,0.0210303,corner-2d-errors-hp-fourier,0.000780033,0.254263,0.04758
5,4797,68802,2.80506e-11,1.07642,0.0121064,3.36224,2.34774e-06,0.00300757,28.0506,11954,68,0.815184,0,1,0.00444659,0.00200122,0.10952,0.000619214,1.86523e-08,0.0478494,0,0.0250254,corner-2d-errors-hp-fourier,0.000858684,0.254263,0.058699
6,5277,85652,3.17654e-11,1.38892,0.0135305,4.76754,9.27453e-07,0.00189465,31.7654,14952,69,1.06248,0,1,0.005534,0.00126068,0.145019,0.000737266,6.52963e-09,0.0570037,0,0.0290854,corner-2d-errors-hp-fourier,0.00101531,0.254263,0.0730991
7,5826,105559,3.66929e-11,1.86662,0.0149976,6.63426,3.66972e-07,0.00119355,36.6929,17562,74,1.44954,0,1,0.00714187,0.000794175,0.196271,0.000811698,2.36858e-09,0.0678931,0,0.0342875,corner-2d-errors-hp-fourier,0.00118617,0.254263,0.093517
8,6444,129456,4.4375e-11,3.28149,0.0168455,10.0225,1.45325e-07,0.00075189,44.375,22937,113,2.72512,0,1,0.00928709,0.000500297,0.272433,0.000910406,8.52549e-10,0.0819246,0,0.0410901,corner-2d-errors-hp-fourier,0.0016164,0.254263,0.128738
9,7203,157119,1.08088e-10,5.59136,0.0188911,15.5073,5.76003e-08,0.000473682,108.088,29333,161,4.85239,0,1,0.0119784,0.000315184,0.393225,0.001063,3.12205e-10,0.0999232,0,0.04847,corner-2d-errors-hp-fourier,0.00192784,0.254263,0.1574
10,7977,196105,1.6496e-10,8.98817,0.0218357,24.4956,2.28403e-08,0.000298401,164.96,36365,191,7.93402,0,1,0.0129456,0.000198554,0.626622,0.00117818,1.15983e-10,0.122041,0,0.0579176,corner-2d-errors-hp-fourier,0.00269761,0.254263,0.207515
11,9360,237973,1.97686e-09,14.2534,0.0265632,38.7492,9.14413e-09,0.000264876,1976.86,45681,249,12.8476,0,1,0.0147376,0.000119894,0.867761,0.00139039,4.23275e-11,0.149031,0,0.0700489,corner-2d-errors-hp-fourier,0.00367907,0.254263,0.270743
