cycle,ncells,ndofs,ncpus,weighting factor,compute errors,calculate indicators,weighting exponent,relative L2 error,stem,estimated error,flag p,flag adaptation,nconstraints,refine,H1 error,L2 error,calculate transformation matrices,solve,estimate error,full cycle,iterations,tolerance,rhs L2 norm,assembly,walltime,setup
0,3072,12545,1,0,0.0130638,0.00128142,0,1.64442e-06,corner-2d-errors-hp-legendre-naive,0.0239991,0.000340071,0.000604009,512,0.00917329,0.0122088,0.000111022,0.0232565,0.0448837,0.00942085,0.0978601,24,2.16889e-11,21.6889,0.0082531,0.130333,0.0107402
1,4437,20849,1,0,0.0206159,0.0019253,0,5.82248e-07,corner-2d-errors-hp-legendre-naive,0.0151179,0.00050911,0.00065508,1320,0.0134356,0.00769071,4.36e-05,0.0232565,0.108947,0.0145073,0.193301,39,2.15558e-11,21.5558,0.015241,0.323884,0.0168499
2,6399,35890,1,0,0.0340852,0.00287641,0,2.00238e-07,corner-2d-errors-hp-legendre-naive,0.00952351,0.000761083,0.000924396,3748,0.0196272,0.00484481,1.71878e-05,0.0232565,0.237539,0.023068,0.380528,49,2.16414e-11,21.6414,0.0307531,0.704881,0.0293904
3,9288,58534,1,0,0.0542105,0.00432275,0,6.77478e-08,corner-2d-errors-hp-legendre-naive,0.0059994,0.00115144,0.0014235,8154,0.028944,0.00305208,6.79279e-06,0.0232565,0.432012,0.0346034,0.664348,53,2.37183e-11,23.7183,0.0552939,1.36981,0.0489797
4,13479,93420,1,0,0.0827373,0.00645094,0,2.28034e-08,corner-2d-errors-hp-legendre-naive,0.00377938,0.00174381,0.00217163,15322,0.0430916,0.00192274,2.68915e-06,0.0232565,0.7928,0.0541779,1.16324,60,2.5912e-11,25.912,0.0960457,2.53315,0.0810374
5,19527,145163,1,0,0.124387,0.00934972,0,7.75932e-09,corner-2d-errors-hp-legendre-naive,0.00238086,0.00322374,0.00312679,26593,0.0627972,0.00121131,1.06648e-06,0.0232565,1.35673,0.0855524,1.93785,67,2.8452e-11,28.452,0.158976,4.48006,0.130294
6,28278,216275,1,0,0.18401,0.013528,0,2.70734e-09,corner-2d-errors-hp-legendre-naive,0.00149985,0.00615427,0.00621133,39858,0.0917234,0.000763097,4.23515e-07,0.0232565,2.07095,0.127519,2.94442,67,2.88343e-11,28.8343,0.244458,7.44878,0.19439
7,40911,319144,1,0,0.270628,0.0192652,0,9.48767e-10,corner-2d-errors-hp-legendre-naive,0.000944845,0.010903,0.0110408,58734,0.134272,0.00048071,1.67943e-07,0.0232565,3.20859,0.189331,4.5205,69,3.23794e-11,32.3794,0.366906,12.0211,0.298505
8,59121,474119,1,0,0.406334,0.0285744,0,3.38884e-10,corner-2d-errors-hp-legendre-naive,0.000595215,0.0172142,0.019747,90573,0.19808,0.000302816,6.64972e-08,0.0232565,4.83812,0.278875,6.81812,69,3.67004e-11,36.7004,0.555156,18.8593,0.472017
9,85710,710581,1,0,0.617304,0.0421095,0,1.19171e-10,corner-2d-errors-hp-legendre-naive,0.000374961,0.0264395,0.0304358,137892,0.29374,0.00019076,2.64079e-08,0.0232565,7.70153,0.420249,10.7164,71,4.01927e-11,40.1927,0.857668,29.6468,0.709863
10,124275,1051751,1,0,0.957143,0.0616322,0,4.15426e-11,corner-2d-errors-hp-legendre-naive,0.000236211,0.0390447,0.0497654,206733,0.43123,0.000120172,1.05175e-08,0.0232565,14.1596,0.622312,18.7657,91,4.4869e-11,44.869,1.28206,48.4775,1.11379
11,180069,1551423,1,0,1.55597,0.0903617,0,1.50016e-11,corner-2d-errors-hp-legendre-naive,0.000148804,0.058928,0.0744896,307073,0.635148,7.57035e-05,4.18429e-09,0.0232565,29.8618,0.934615,36.8515,132,5.50929e-11,55.0929,1.95169,85.3292,1.59755
