cycle,ncells,ndofs,relative L2 error,flag p,stem,solve,estimate error,compute errors,H1 error,weighting factor,flag adaptation,ncpus,calculate transformation matrices,L2 error,rhs L2 norm,weighting exponent,assembly,refine,setup,calculate indicators,iterations,estimated error,nconstraints,full cycle,tolerance,walltime
0,3072,12545,1.64442e-06,0.000341737,corner-2d-errors-hp-legendre,0.044773,0.00944892,0.0130983,0.0122088,0,0.000603327,1,0.023279,0.000111022,21.6889,0,0.00829951,0.00739655,0.0108058,0.00128013,24,0.0239991,512,0.0963677,2.16889e-11,0.128707
1,3333,18175,5.93778e-07,0.000399999,corner-2d-errors-hp-legendre,0.107033,0.0112596,0.0172868,0.0076909,0,0.000376953,1,0.023279,4.3601e-05,21.5558,0,0.0144894,0.00797269,0.0144603,0.00154857,41,0.015118,1158,0.175321,2.15558e-11,0.304192
2,3606,26305,2.13214e-07,0.000454876,corner-2d-errors-hp-legendre,0.220544,0.0134851,0.0231791,0.00484489,0,0.000443981,1,0.023279,1.7188e-05,21.7918,0,0.0287736,0.00876722,0.0212186,0.00181863,56,0.00952362,3014,0.320011,2.17918e-11,0.624418
3,3930,35039,7.67749e-08,0.000514147,corner-2d-errors-hp-legendre,0.343138,0.0162081,0.0293506,0.0030521,0,0.000478046,1,0.023279,6.79261e-06,23.801,0,0.0448034,0.00961752,0.0294112,0.00203786,63,0.00599948,5434,0.477129,2.3801e-11,1.10182
4,4281,44666,2.79682e-08,0.00057199,corner-2d-errors-hp-legendre,0.563065,0.0189501,0.0354908,0.00192274,0,0.000524661,1,0.023279,2.68932e-06,25.4906,0,0.0643515,0.0105667,0.0379597,0.0023322,80,0.00377943,7637,0.735289,2.54906e-11,1.83785
5,4668,55609,1.01639e-08,0.000647803,corner-2d-errors-hp-legendre,1.14062,0.0218981,0.0435639,0.0012113,0,0.000592634,1,0.023279,1.06683e-06,27.6552,0,0.0900718,0.0115827,0.0479094,0.00258417,133,0.00238089,10599,1.36156,2.76552e-11,3.20185
6,5082,67953,3.7724e-09,0.000707923,corner-2d-errors-hp-legendre,1.37064,0.0254696,0.0517248,0.000763121,0,0.000677018,1,0.023279,4.25432e-07,29.2727,0,0.123827,0.0126147,0.0593336,0.00286078,124,0.00149987,13315,1.64941,2.92727e-11,4.85594
7,5541,81025,1.42656e-09,0.000767036,corner-2d-errors-hp-legendre,1.74545,0.0291631,0.0599038,0.000480781,0,0.000743531,1,0.023279,1.72513e-07,30.4101,0,0.160473,0.0139506,0.0717366,0.0032162,128,0.000944864,16017,2.08668,3.04101e-11,6.94466
8,6054,97267,5.61614e-10,0.000864789,corner-2d-errors-hp-legendre,2.42018,0.0333923,0.0700046,0.000302888,0,0.000827585,1,0.023279,7.21759e-08,32.8025,0,0.21594,0.0151921,0.0968001,0.00368584,144,0.00059523,19609,2.86261,3.28025e-11,9.82662
9,6615,116062,2.29204e-10,0.000953372,corner-2d-errors-hp-legendre,4.20581,0.0387376,0.0820135,0.000190801,0,0.000887325,1,0.023279,3.0987e-08,34.6503,0,0.290292,0.017008,0.114529,0.00429619,205,0.000374973,23704,4.7586,3.46503e-11,14.5939
10,7290,139621,9.18685e-11,0.00106981,corner-2d-errors-hp-legendre,5.87608,0.0444868,0.0955428,0.000120195,0,0.000981401,1,0.023279,1.28864e-08,37.4921,0,0.393628,0.0187725,0.137885,0.00483571,228,0.000236224,28541,6.57561,3.74921e-11,21.1696
11,8028,164942,3.59796e-11,0.00120786,corner-2d-errors-hp-legendre,7.04758,0.0514505,0.111221,7.57127e-05,0,0.00108904,1,0.023279,5.17825e-09,40.2806,0,0.500821,0.0207035,0.170895,0.0054241,226,0.000148811,33952,7.919,4.02806e-11,29.1763
