cycle,ncells,ndofs,nconstraints,rhs L2 norm,flag p,H1 error,flag adaptation,iterations,L2 error,setup,refine,compute errors,solve,ncpus,stem,relative L2 error,tolerance,assembly,estimated error,weighting exponent,weighting factor,walltime,full cycle,estimate error
0,3072,12545,512,21.6889,7.4768e-05,0.0122088,0.000594271,24,0.000111022,0.0107091,0.00673721,0.0130022,0.0448277,1,corner-2d-errors-p,1.64442e-06,2.16889e-11,0.00827166,0.0239991,0,0,0.10302,0.0940421,0.00941105
1,3054,17396,946,21.5558,7.3333e-05,0.00743352,0.000378132,36,4.42351e-05,0.0135804,0.00666809,0.0162625,0.0951022,1,corner-2d-errors-p,6.02913e-07,2.15558e-11,0.0142045,0.0218246,0,0,0.260289,0.157016,0.0103505
2,3030,24392,2340,21.7918,7.531e-05,0.00527206,0.00037294,50,2.26954e-05,0.0198098,0.00458116,0.0207615,0.199529,1,corner-2d-errors-p,2.78375e-07,2.17918e-11,0.0294848,0.0202689,0,0,0.548149,0.28689,0.0116578
3,3030,30882,4116,23.801,7.633e-05,0.00405189,0.000348944,50,1.3395e-05,0.0262814,0.0045949,0.0252211,0.269485,1,corner-2d-errors-p,1.44136e-07,2.3801e-11,0.0437618,0.0190915,0,0,0.932471,0.383683,0.0127803
4,3030,38532,6682,25.5095,7.6788e-05,0.00327026,0.000420087,57,8.65359e-06,0.0323986,0.00461417,0.0297571,0.38965,1,corner-2d-errors-p,8.24086e-08,2.55095e-11,0.063716,0.0181493,0,0,1.46768,0.535096,0.0141402
5,3030,45140,8053,28.1764,7.6411e-05,0.00272739,0.000393049,59,5.95636e-06,0.0388241,0.00677751,0.0337061,0.49919,1,corner-2d-errors-p,5.11725e-08,2.81764e-11,0.0895437,0.0173697,0,0,2.15182,0.684045,0.0151775
6,3135,56619,9371,31.607,7.8759e-05,0.00171814,0.000402894,83,2.35156e-06,0.0515053,0.00702944,0.0399993,0.955669,1,corner-2d-errors-p,1.85483e-08,3.1607e-11,0.155315,0.0109422,0,0,3.38229,1.23037,0.0174828
7,3243,68649,11136,33.4227,8.1952e-05,0.00108236,0.000410026,94,9.30159e-07,0.0637237,0.00734966,0.0465161,1.37101,1,corner-2d-errors-p,6.82853e-09,3.34227e-11,0.212563,0.00689314,0,0,5.12233,1.72537,0.019841
8,3360,81867,12711,38.5136,8.4024e-05,0.00068184,0.000422239,93,3.68365e-07,0.0838374,0.00764015,0.0526238,1.74583,1,corner-2d-errors-p,2.5126e-09,3.85136e-11,0.278812,0.0043424,0,0,7.31613,2.19354,0.0220735
9,3501,98435,15600,56.8008,8.7251e-05,0.000429532,0.00046053,98,1.45975e-07,0.104268,0.00861429,0.0608547,2.28907,1,corner-2d-errors-p,9.15139e-10,5.68008e-11,0.370135,0.00273554,0,0,10.18,2.86377,0.0254677
10,3783,123200,19105,156.013,9.6533e-05,0.000270588,0.000494608,103,5.78805e-08,0.138635,0.00910485,0.0743611,3.24776,1,corner-2d-errors-p,3.4461e-10,1.56013e-10,0.559558,0.00172328,0,0,14.2456,4.06544,0.0301484
11,4164,154066,23205,363.682,0.000107072,0.00017046,0.000544293,136,2.29581e-08,0.188504,0.00985296,0.0917709,5.6624,1,corner-2d-errors-p,1.26255e-10,3.63682e-10,0.805055,0.0010856,0,0,21.0513,6.80564,0.0363035
