cycle,ncells,ndofs,L2 error,nconstraints,relative L2 error,solve,flag p,iterations,setup,rhs L2 norm,stem,full cycle,assembly,weighting factor,weighting exponent,estimated error,tolerance,ncpus,calculate transformation matrices,H1 error,flag adaptation,compute errors,walltime,refine,estimate error,calculate indicators
0,3145728,12591105,1.06495e-06,17004,1.8011e-11,1.25362,0.0260237,26,0.103531,121.896,corner-2d-weak10-nnodes16,1.78503,0.0421702,100000,1.8999999999999999,0.00238085,1.21896e-10,768,0.0596347,0.00121116,0.0347029,0.0600785,13.0501,0.14048,0.0682522,0.0235684
1,3377847,17896351,4.22216e-07,204695,6.46091e-12,2.0534,0.0310595,47,0.163862,146.192,corner-2d-weak10-nnodes16,2.85758,0.0812686,100000,1.8999999999999999,0.00149984,1.46192e-10,768,0.0596347,0.000762984,0.0406695,0.10081,15.9102,0.225831,0.101674,0.035998
2,3630504,24771741,1.67457e-07,613721,2.29713e-12,3.74091,0.0265981,65,0.245951,209.037,corner-2d-weak10-nnodes16,4.97636,0.182814,100000,1.8999999999999999,0.00094484,2.09037e-10,768,0.0596347,0.00048065,0.0439715,0.157079,20.9456,0.320517,0.14696,0.0540734
3,3955353,32060334,6.64544e-08,1569258,8.10059e-13,5.64772,0.0334946,84,0.310301,283.596,corner-2d-weak10-nnodes16,7.29517,0.323383,100000,1.8999999999999999,0.000595212,2.83596e-10,768,0.0596347,0.00030279,0.0470066,0.201735,28.2469,0.38313,0.196445,0.0704119
4,4307481,40903055,2.63801e-08,2766728,2.88513e-13,10.8051,0.0408943,128,0.404847,367.634,corner-2d-weak10-nnodes16,13.106,0.609454,100000,1.8999999999999999,0.00037496,3.67634e-10,768,0.0596347,0.000190746,0.0523862,0.258222,41.51,0.563492,0.233922,0.0940684
5,4688952,50647318,1.04789e-08,3927085,1.03278e-13,27.0179,0.0480328,268,0.518488,460.195,corner-2d-weak10-nnodes16,30.2923,1.15338,100000,1.8999999999999999,0.00023621,4.60195e-10,768,0.0596347,0.000120162,0.0579826,0.338422,72.688,0.626392,0.324185,0.121504
6,5274483,69431260,4.16895e-09,5617673,3.09505e-14,41.7296,0.0647321,269,0.796641,601.265,corner-2d-weak10-nnodes16,46.673,1.93944,100000,1.8999999999999999,0.000148803,6.01265e-10,768,0.0596347,7.56976e-05,0.0642896,0.476795,120.483,0.905134,0.428659,0.16502
7,6622026,122979136,1.65095e-09,8005824,7.48176e-15,88.3474,0.0901952,273,1.61534,848.154,corner-2d-weak10-nnodes16,97.856,4.38604,100000,1.8999999999999999,9.374e-05,8.48154e-10,768,0.0596347,4.76865e-05,0.0779179,0.809213,218.341,1.45677,0.734299,0.245897
8,10149906,277274477,6.93363e-10,12388533,1.78321e-15,232.371,0.116901,277,3.98281,1198.55,corner-2d-weak10-nnodes16,256.451,11.8271,100000,1.8999999999999999,5.90525e-05,1.19855e-09,768,0.0596347,3.00406e-05,0.110945,1.89123,475.225,4.06745,1.58779,0.359193
9,17627532,620433119,3.74432e-10,29838148,5.90511e-16,489.199,0.18945,245,9.79539,1694.38,corner-2d-weak10-nnodes16,546.205,28.4831,100000,1.8999999999999999,3.72007e-05,1.69438e-09,768,0.0596347,1.89244e-05,0.264038,4.93218,1023.02,7.40057,4.74268,0.493469
10,32420856,1302365268,4.85395e-10,60636959,5.06111e-16,936.003,0.397392,216,20.8259,2395.76,corner-2d-weak10-nnodes16,1066.84,61.7197,100000,1.8999999999999999,2.3435e-05,2.39576e-09,768,0.0596347,1.19216e-05,0.425335,10.8597,2092.8,25.2099,9.24355,1.11255
