cycle,ncells,ndofs,weighting factor,estimate error,solve,calculate indicators,flag adaptation,walltime,full cycle,iterations,setup,assembly,compute errors,flag p,relative L2 error,refine,estimated error,tolerance,rhs L2 norm,H1 error,nconstraints,stem,weighting exponent,L2 error,ncpus,calculate transformation matrices
0,3145728,12591105,100000,0.0158635,20.3681,0.00667856,0.1214,71.3126,21.0491,26,0.091554,0.013789,0.0145461,0.103919,9.00548e-12,0.166108,0.00238085,1.21896e-10,121.896,0.00121116,17644,corner-2d-weak10-nnodes64,1.8999999999999999,1.06495e-06,3072,0.0627812
1,3376071,17840482,100000,0.0261449,2.54627,0.00995874,0.223345,75.3454,3.53489,70,0.299347,0.0247373,0.0238582,0.178917,3.27635e-12,0.171498,0.00149984,1.26425e-10,126.425,0.000762984,144121,corner-2d-weak10-nnodes64,1.8999999999999999,4.22217e-07,3072,0.0627812
2,3637992,24761719,100000,0.0416503,3.6567,0.015425,0.26803,80.4866,4.92493,98,0.345261,0.0508354,0.0380115,0.247826,1.1664e-12,0.174644,0.00094484,1.81357e-10,181.357,0.00048065,677727,corner-2d-weak10-nnodes64,1.8999999999999999,1.67462e-07,3072,0.0627812
3,3951765,32571827,100000,0.0579815,4.82306,0.0214354,0.329292,87.02,6.27632,107,0.323468,0.0890836,0.0526268,0.315887,4.10757e-13,0.200095,0.000595212,2.51553e-10,251.553,0.00030279,2083062,corner-2d-weak10-nnodes64,1.8999999999999999,6.64472e-08,3072,0.0627812
4,4290981,41743985,100000,0.0794699,6.48838,0.0277991,0.383193,104.585,8.16472,140,0.284765,0.159962,0.0710095,0.386034,1.44954e-13,0.19684,0.00037496,3.32037e-10,332.037,0.000190746,3773619,corner-2d-weak10-nnodes64,1.8999999999999999,2.63638e-08,3072,0.0627812
5,4669566,51625521,100000,0.10288,14.5123,0.0367156,0.447917,112.035,16.6081,271,0.341741,0.295709,0.0981873,0.389654,5.19359e-14,0.310252,0.00023621,4.21328e-10,421.328,0.000120162,5204485,corner-2d-weak10-nnodes64,1.8999999999999999,1.04647e-08,3072,0.0627812
6,5128902,64701030,100000,0.122742,18.0699,0.0508824,0.54722,133.659,21.0106,292,0.485044,0.447308,0.129494,0.571343,1.74519e-14,0.41767,0.000148803,5.25625e-10,525.625,7.56976e-05,6780526,corner-2d-weak10-nnodes64,1.8999999999999999,4.1553e-09,3072,0.0627812
7,6009909,96737409,100000,0.254769,27.9306,0.101203,0.622374,165.793,32.1321,287,0.700416,0.80341,0.263841,0.631087,4.72004e-15,0.548281,9.374e-05,7.33179e-10,733.179,4.76865e-05,8984713,corner-2d-weak10-nnodes64,1.8999999999999999,1.65167e-09,3072,0.0627812
8,8442624,200139253,100000,0.501845,59.3702,0.187721,0.661846,239.205,66.5688,268,1.21707,2.07374,0.550764,0.702272,1.11371e-15,1.05389,5.90525e-05,1.03568e-09,1035.68,3.00406e-05,12315276,corner-2d-weak10-nnodes64,1.8999999999999999,6.86867e-10,3072,0.0627812
9,14239125,459440439,100000,1.06035,153.739,0.210711,0.7808,406.809,167.602,271,2.37755,5.35124,1.19212,0.59701,3.58171e-16,2.15618,3.72007e-05,1.46424e-09,1464.24,1.89244e-05,19260385,corner-2d-weak10-nnodes64,1.8999999999999999,3.82945e-10,3072,0.0627812
10,25958514,1002179642,100000,2.64786,272.358,0.347077,1.12128,711.73,302.869,264,4.95496,12.1072,2.70649,1.05992,2.58167e-16,4.68801,2.3435e-05,2.06991e-09,2069.91,1.19216e-05,49260171,corner-2d-weak10-nnodes64,1.8999999999999999,4.33551e-10,3072,0.0627812
11,49037538,2073075769,100000,5.27768,500.105,0.694853,1.53434,1276.81,560.748,244,10.4325,25.2069,5.66615,1.52423,3.28026e-16,9.63692,1.47631e-05,2.92696e-09,2926.96,7.51017e-06,101142718,corner-2d-weak10-nnodes64,1.8999999999999999,8.17613e-10,3072,0.0627812
