weighting exponent,walltime,assembly,ndofs,setup,L2 error,refine,rhs L2 norm,compute errors,calculate transformation matrices,H1 error,estimate error,solve,flag adaptation,tolerance,iterations,weighting factor,estimated error,stem,flag p,ncpus,full cycle,cycle,nconstraints,ncells,calculate indicators,relative L2 error
1,260.225,18.0315,46369440,3.77131,9.92659e-11,1.6238,462.697,1.06198,0.0587951,1.19216e-05,0.806168,232.047,0.0329625,4.62697e-10,282,100000,2.3435e-05,corner-2d-weights,0.0595676,96,257.889,0,4027869,2252550,0.275412,2.52808e-15
1.1,257.682,17.0858,46369440,3.80683,8.97332e-11,1.56108,462.697,1.07681,0.0588933,1.19216e-05,0.92904,230.439,0.0389407,4.62697e-10,282,100000,2.3435e-05,corner-2d-weights,0.0652355,96,255.326,0,4029415,2252550,0.248527,2.2853e-15
1.2,259.528,16.1586,46369440,3.73943,9.07892e-11,1.72117,462.697,1.10815,0.0589504,1.19216e-05,0.984762,232.462,0.0348575,4.62697e-10,282,100000,2.3435e-05,corner-2d-weights,0.0718442,96,256.89,0,4030965,2252550,0.260965,2.3122e-15
1.3,256.23,15.2892,46369440,3.69263,9.53093e-11,1.61036,462.697,1.1887,0.058201,1.19216e-05,0.917227,231.181,0.0339732,4.62697e-10,283,100000,2.3435e-05,corner-2d-weights,0.0717891,96,254.427,0,4029153,2252550,0.279829,2.42731e-15
1.4,250.418,14.4791,46369440,3.69752,1.00776e-10,1.73239,462.697,1.1783,0.0589359,1.19216e-05,0.928786,225.496,0.0348727,4.62697e-10,283,100000,2.3435e-05,corner-2d-weights,0.0718806,96,248.162,0,4030795,2252550,0.286096,2.56653e-15
1.5,250.209,13.8898,46369440,3.62864,8.65347e-11,1.85927,462.697,1.24866,0.0586723,1.19216e-05,0.988075,225.784,0.037149,4.62697e-10,284,100000,2.3435e-05,corner-2d-weights,0.0695492,96,247.884,0,4030219,2252550,0.294703,2.20384e-15
1.6,246.442,13.2367,46369440,3.77307,8.65421e-11,1.99272,462.697,1.32396,0.0589343,1.19216e-05,1.12784,221.784,0.0437266,4.62697e-10,282,100000,2.3435e-05,corner-2d-weights,0.0849783,96,243.9,0,4032490,2252550,0.285063,2.20403e-15
1.7,245.157,12.6644,46369440,3.72038,9.14651e-11,2.20729,462.697,1.43898,0.0592378,1.19216e-05,1.29312,221.063,0.0561879,4.62697e-10,284,100000,2.3435e-05,corner-2d-weights,0.0942592,96,242.946,0,4032367,2252550,0.324577,2.32941e-15
1.8,242.237,12.1138,46369440,3.62199,1.01226e-10,2.50428,462.697,1.48742,0.0583544,1.19216e-05,1.27438,218.656,0.0447005,4.62697e-10,284,100000,2.3435e-05,corner-2d-weights,0.092723,96,240.303,0,4037445,2252550,0.333767,2.57801e-15
1.9,239.098,11.6298,46369440,3.67325,9.95257e-11,2.46454,462.697,1.54282,0.0587516,1.19216e-05,1.25787,215.264,0.0415721,4.62697e-10,282,100000,2.3435e-05,corner-2d-weights,0.0890176,96,236.497,0,4036273,2252550,0.332114,2.5347e-15
2,240.441,11.2075,46369440,3.79313,9.58136e-11,2.8573,462.697,1.63172,0.0581425,1.19216e-05,1.3323,216.519,0.0440252,4.62697e-10,283,100000,2.3435e-05,corner-2d-weights,0.086304,96,237.889,0,4034211,2252550,0.338165,2.44016e-15
2.1,241.606,10.869,46369440,3.92435,9.09887e-11,3.04967,462.697,1.78961,0.0587517,1.19216e-05,1.54833,217.657,0.0512648,4.62697e-10,283,100000,2.3435e-05,corner-2d-weights,0.104172,96,239.42,0,4035880,2252550,0.370754,2.31728e-15
2.2,243.782,10.4728,46369440,4.06623,9.89855e-11,2.8468,462.697,1.897,0.0582037,1.19216e-05,1.46956,219.756,0.0477776,4.62697e-10,283,100000,2.3435e-05,corner-2d-weights,0.0992062,96,241.104,0,4035039,2252550,0.370646,2.52094e-15
2.3,247.895,10.1391,46369440,4.26508,8.78302e-11,3.18848,462.697,2.02683,0.0583182,1.19216e-05,1.59929,223.41,0.050141,4.62697e-10,284,100000,2.3435e-05,corner-2d-weights,0.093694,96,245.184,0,4034888,2252550,0.345797,2.23684e-15
